Chironomus tentans;31971;35;35;3
Chironomus macani;751190;2;3;1
Chironomus acerbiphilus;105987;5;6;2
Chironomus acerbus;377927;3;3;1
Chironomus acidophilus;191120;545;549;1
Chironomus acutiventris;32704;2;4;1
Chironomus alpestris;755001;3;3;1
Chironomus annularius;32715;73;98;6
Chironomus anthracinus;655848;43;46;5
Chironomus aprilinus;275383;32;37;1
Chironomus balatonicus;32711;4;5;1
Chironomus bernensis;32716;25;27;3
Chironomus bonus;371459;3;3;1
Chironomus pallidinubeculosus;967708;1;1;1
Chironomus cingulatus;32713;17;20;3
Chironomus commutatus;32717;3;14;1
Chironomus heterodentatus;32705;2;2;1
Chironomus holomelas;728731;0;1;0
Chironomus hyperboreus;347343;423;430;2
Chironomus inermifrons;751165;0;1;0
Chironomus islandicus;765415;15;16;1
Chironomus lacunarius;756095;9;9;1
Chironomus longistylus;560392;19;20;2
Chironomus lugubris;68665;161;162;2
Chironomus luridus;32702;56;79;3
Chironomus melanescens;32701;335;339;2
Chironomus melanotus;731463;7;7;4
Chironomus muratensis;32710;1;1;1
Chironomus nippodorsalis;655850;42;42;1
Chironomus strenzkei;526623;3;3;1
Chironomus nuditarsis;104968;3;17;1
Chironomus nudiventris;728721;0;6;0
Chironomus obtusidens;728735;2;3;1
Chironomus piger;673776;2;6;2
Chironomus pilicornis;371355;23;23;1
Chironomus plumosus;32712;241;283;13
Chironomus prasinus;1141538;4;4;0
Chironomus pseudothummi;32700;133;137;4
Chironomus riihimakiensis;731465;3;3;2
Chironomus riparius;98597;768;950;4
Chironomus salinarius;237177;116;118;3
Chironomus sororius;32706;3;4;1
Chironomus staegeri;366439;20;20;1
Chironomus tenuistylus;32703;1;1;1
Chironomus transvaalensis;105981;420;424;2
Chironomus dorsalis;296250;47;51;3
Chironomus pseudomendax;592134;5;5;1
Chironomus agilis;774758;5;6;1
Chironomus borokensis;655849;1;2;1
Chironomus curabilis;521072;17;17;1
Chironomus entis;32709;13;17;3
Chironomus heteropilicornis;768008;11;12;2
Chironomus jonmartini;765414;0;2;0
Chironomus sollicitus;560393;2;2;1
Chironomus storai;377923;11;12;4
Chironomus usenicus;521073;8;8;1
Cladopelma krusemani;856403;0;1;0
Cladopelma bicarinatum;728761;7;9;1
Cladopelma edwardsi;641340;104;109;6
Cladopelma virescens;371461;117;121;1
Cladopelma viridulum;149371;189;191;4
Cladotanytarsus amandus;399392;215;218;2
Cladotanytarsus bicornutus;731447;5;6;1
Cladotanytarsus atridorsum;66111;342;353;3
Cladotanytarsus cyrylae;366774;3;3;1
Cladotanytarsus difficilis;371467;8;9;2
Cladotanytarsus egelbeek;728756;0;2;0
Cladotanytarsus gedanicus;366768;13;13;1
Cladotanytarsus iucundus;781588;1;1;1
Cladotanytarsus lepidocalcar;728757;0;2;0
Cladotanytarsus mancus;371453;170;176;4
Cladotanytarsus molestus;939832;1;2;1
Cladotanytarsus nigrovittatus;727954;23;24;1
Cladotanytarsus pallidus;66112;694;695;2
Cladotanytarsus pseudomancus;1156088;390;390;1
Cladotanytarsus teres;731435;1;1;1
Cladotanytarsus vanderwulpi;358714;35;39;11
Clinotanypus nervosus;296252;63;66;2
Clunio balticus;237183;1;1;1
Clunio marinus;237184;7;89;1
Clunio ponticus;237185;1;1;1
Conchapelopia pallens;149376;70;71;1
Conchapelopia aagaardi;371369;58;64;1
Conchapelopia hittmairorum;380633;7;7;1
Conchapelopia intermedia;751600;0;2;0
Conchapelopia melanops;354580;64;67;1
Conchapelopia pallidula;729605;13;13;2
Conchapelopia triannulata;1141608;1;1;0
Conchapelopia viator;1141607;3;3;0
Constempellina brevicosta;66147;20;20;5
Corynocera ambigua;731461;2;2;1
Corynoneura arctica;380647;1629;1631;5
Corynoneura carriana;371456;21;22;1
Corynoneura celeripes;731444;3;3;2
Corynoneura celtica;380636;7;7;2
Corynoneura coronata;95108;20;21;1
Corynoneura doriceni;1131269;1;1;0
Corynoneura edwardsi;380622;13;14;1
Corynoneura fittkaui;56472;65;69;2
Corynoneura gratias;596327;15;15;2
Corynoneura lacustris;68649;17;18;1
Corynoneura lobata;56443;111;118;10
Corynoneurella paludosa;731400;10;10;1
Corynoneura scutellata;479140;154;160;4
Cricotopus annulator;68672;59;63;3
Cricotopus beckeri;95097;5;5;4
Cricotopus bicinctus;150153;1712;1727;9
Cricotopus caducus;751184;9;9;1
Cricotopus coronatus;387259;25;27;2
Cricotopus cylindraceus;731449;5;5;1
Cricotopus festivellus;354584;21;24;1
Cricotopus fuscus;354582;104;104;3
Cricotopus gelidus;68664;3;6;1
Cricotopus lestralis;223340;2;10;1
Cricotopus polaris;387249;27;123;5
Cricotopus magus;371354;2;2;1
Cricotopus pallidipes;751598;2;3;1
Cricotopus patens;387250;71;74;4
Cricotopus pilidorsum;774755;0;1;0
Cricotopus pilosellus;347345;20;22;3
Cricotopus pulchripes;387258;6;7;1
Cricotopus septentrionalis;751769;0;2;0
Cricotopus similis;729621;245;248;1
Cricotopus tibialis;68663;269;284;3
Cricotopus tremulus;150157;439;444;3
Cricotopus triannulatus;297374;2856;2896;7
Cricotopus trifascia;150171;685;689;4
Cricotopus vierriensis;354583;256;260;2
Cricotopus villosus;479162;2;8;1
Cricotopus arcuatus;751597;2;4;2
Cricotopus brevipalpis;596324;3;3;1
Cricotopus glacialis;92545;29;29;3
Cricotopus laetus;751178;7;7;2
Cricotopus laricomalis;371465;51;56;4
Cricotopus maurii;751782;8;8;2
Cricotopus obnixus;387271;1078;1080;6
Cricotopus obtusus;751777;2;2;1
Cricotopus ornatus;371454;59;60;2
Cricotopus perniger;56465;347;347;4
Cricotopus pilicauda;751783;1;1;1
Cricotopus pilitarsis;719408;13;14;1
Cricotopus relucens;731428;7;7;1
Cricotopus reversus;719409;15;15;6
Cricotopus suspiciosus;751599;2;2;1
Cricotopus sylvestris;237186;351;367;10
Cricotopus tricinctus;393505;415;425;10
Cricotopus lebetis;676133;8;8;2
Cricotopus trifasciatus;457186;56;62;7
Cricotopus osellai;738314;23;23;2
Cricotopus rufiventris;738315;453;469;8
Cricotopus skirwithensis;738317;421;423;3
Cricotopus albiforceps;380643;149;152;2
Cricotopus ephippium;751595;0;2;0
Cricotopus flavocinctus;731407;8;9;2
Cricotopus intersectus;371452;127;135;7
Cricotopus nivalis;738313;24;24;2
Cricotopus slossoanae;676132;0;2;0
Cryptochironomus albofasciatus;751188;27;28;7
Cryptochironomus defectus;728714;2;4;0
Cryptochironomus obreptans;728708;2;5;2
Cryptochironomus psittacinus;141623;158;166;7
Cryptochironomus redekei;296253;20;21;1
Cryptochironomus rostratus;728740;16;19;3
Cryptochironomus supplicans;380620;40;48;6
Cryptotendipes darbyi;102864;585;586;2
Cryptotendipes holsatus;728738;3;4;0
Cryptotendipes pflugfelderi;751596;2;2;1
Cryptotendipes usmaensis;728717;6;8;1
Cyphomella cornea;272777;129;129;2
Demeijerea rufipes;751591;4;4;1
Demicryptochironomus vulneratus;728750;11;12;4
Diamesa aberrata;56503;98;101;3
Diamesa bertrami;56497;71;80;2
Diamesa bohemani;56491;69;79;1
Diamesa chorea;752337;746;746;1
Diamesa cinerella;788756;17;18;1
Diamesa dampfi;788758;6;6;1
Diamesa geminata;479138;59;60;1
Diamesa goetghebueri;788759;17;19;3
Diamesa gregsoni;273936;0;2;0
Diamesa hamaticornis;936626;16;17;1
Diamesa hyperborea;56502;47;47;1
Diamesa incallida;204024;13;15;3
Diamesa insignipes;786632;255;259;1
Diamesa latitarsis;204009;37;43;3
Diamesa lavillei;371370;9;10;2
Diamesa lindrothi;204018;16;17;2
Diamesa modesta;788760;11;14;1
Diamesa nowickiana;1125433;3;5;1
Diamesa parancysta;1161486;10;11;1
Diamesa permacra;296249;7;8;1
Diamesa saetheri;204016;5;5;1
Diamesa serratosioi;204017;20;23;1
Diamesa simplex;479139;12;13;1
Diamesa starmachi;348421;1;1;1
Diamesa steinboecki;788762;47;67;3
Diamesa tonsa;204020;111;121;2
Diamesa zernyi;141703;29;48;1
Dicrotendipes fusconotatus;1156087;0;1;0
Dicrotendipes lobiger;272774;356;356;2
Dicrotendipes modestus;141640;1254;1267;10
Dicrotendipes nervosus;141624;312;336;6
Dicrotendipes notatus;728730;2;5;1
Dicrotendipes peringueyanus;936554;0;2;0
Dicrotendipes pulsus;371460;8;10;2
Dicrotendipes septemmaculatus;504483;83;85;5
Dicrotendipes tritomus;272773;1831;1840;4
Diplocladius cultriger;297378;661;665;6
Doncricotopus dentatus;751771;0;2;0
Chironomus mendax;731424;5;5;1
Einfeldia pagana;408060;19;24;2
Endochironomus albipennis;380644;110;115;3
Endochironomus dispar;856411;0;1;0
Endochironomus lepidus;728719;0;1;0
Endochironomus tendens;296254;32;40;5
Epoicocladius ephemerae;728729;8;10;1
Eukiefferiella boevrensis;751185;0;2;0
Eukiefferiella brehmi;1150392;1;2;1
Eukiefferiella brevicalcar;257385;25;42;1
Eukiefferiella claripennis;257394;924;938;7
Eukiefferiella coerulescens;56450;11;12;1
Eukiefferiella devonica;95098;21;27;4
Tvetenia discoloripes;380638;6;14;1
Eukiefferiella dittmari;380634;13;13;1
Eukiefferiella gracei;939835;1;6;1
Eukiefferiella ilkleyensis;263437;23;23;1
Eukiefferiella minor;141702;116;131;2
Eukiefferiella pseudomontana;785785;2;3;2
Eukiefferiella tirolensis;56455;20;21;2
Eurycnemus crassipes;296264;2;5;1
Euryhapsis cilium;297383;5;5;2
Euryhapsis fuscipropes;1143202;1;1;1
Euryhapsis subviridis;936640;6;6;3
Fleuria lacustris;510054;7;7;2
Glyptotendipes barbipes;237179;15;16;3
Glyptotendipes lobiferus;105974;18;19;3
Glyptotendipes paripes;296265;12;16;1
Glyptotendipes aequalis;731438;3;3;1
Glyptotendipes cauliginellus;380614;26;30;3
Glyptotendipes glaucus;1068140;3;15;1
Glyptotendipes imbecilis;1068138;14;16;2
Glyptotendipes ospeli;728760;0;3;0
Glyptotendipes pallens;296269;85;96;3
Glyptotendipes salinus;296402;0;13;0
Glyptotendipes scirpi;969369;2;2;1
Glyptotendipes signatus;731452;12;13;3
Graceus ambiguus;728745;0;1;0
Guttipelopia guttipennis;380618;31;42;2
Gymnometriocnemus pallidus;707637;194;198;1
Gymnometriocnemus subnudus;257400;220;229;1
Gymnometriocnemus brumalis;95105;4761;4769;10
Gymnometriocnemus autumnalis;707639;5;6;1
Gymnometriocnemus brevitarsis;707640;19;19;1
Gymnometriocnemus kamimegavirgus;647523;373;375;1
Halocladius fucicola;237188;4;4;1
Halocladius variabilis;102865;4094;4100;1
Halocladius varians;237191;37;42;5
Harnischia angularis;878844;3;3;1
Harnischia curtilamellata;380640;15;18;3
Harnischia fuscimana;380629;14;15;1
Heleniella ornaticollis;56417;51;55;1
Heterotanytarsus apicalis;74203;39;43;2
Heterotanytarsus brundini;751164;0;2;0
Heterotrissocladius changi;399394;764;766;1
Heterotrissocladius grimshawi;141706;15;17;1
Heterotrissocladius maeaeri;753738;0;2;0
Heterotrissocladius marcidus;257383;76;80;3
Heterotrissocladius subpilosus;141641;49;50;1
Heterotrissocladius oliveri;739546;2518;2524;1
Heterotrissocladius zierli;56419;7;8;1
Hydrobaenus conformis;56495;153;153;5
Hydrobaenus fusistylus;297376;880;882;1
Parorthocladius korneyevi;716319;8;8;1
Hydrobaenus lapponicus;371364;2;2;1
Hydrobaenus pilipes;731462;4;6;1
Hydrobaenus sikhotealinensis;936593;2;2;1
Hydrosmittia oxoniana;377936;56;57;2
Hydrosmittia ruttneri;377929;7;10;1
Kiefferulus tendipediformis;387733;127;135;2
Krenopelopia binotata;731413;11;12;2
Micropsectra acuta;350953;3;3;1
Krenosmittia boreoalpina;56445;23;27;3
Krenosmittia camptophleps;257396;6;7;1
Krenosmittia halvorseni;272802;53;54;5
Labrundinia longipalpis;731455;2;4;1
Larsia atrocincta;731454;3;3;1
Lasiodiamesa armata;751168;5;5;1
Lasiodiamesa gracilis;731423;2;2;1
Lasiodiamesa sphagnicola;296256;47;51;5
Lauterborniella agrayloides;396903;265;267;3
Limnophyes aagaardi;68656;32;32;2
Limnophyes anderseni;479163;17;18;1
Limnophyes angelicae;731437;10;10;1
Limnophyes asquamatus;68676;9944;9955;9
Limnophyes axillapilosis;1130623;4;4;1
Limnophyes bidumus;74209;82;89;3
Limnophyes brachytomus;68657;2136;2143;7
Limnophyes edwardsi;141688;68;69;2
Limnophyes eltoni;181551;14;14;1
Limnophyes difficilis;74208;107;108;2
Limnophyes gurgicola;749673;12;15;2
Limnophyes habilis;257390;1190;1193;1
Limnophyes madeirae;377925;1;1;1
Limnophyes margaretae;731414;5;5;1
Limnophyes minimus;74218;4527;4573;18
Limnophyes natalensis;68658;1535;1579;7
Limnophyes ninae;371356;956;966;3
Limnophyes pentaplastus;74210;248;251;2
Limnophyes pumilio;56480;609;615;10
Limnophyes schnelli;95080;1227;1232;3
Limnophyes spinigus;709060;11;11;3
Limnophyes vrangelensis;348430;14;14;1
Lipiniella moderata;651988;19;21;1
Lithotanytarsus dadesi;366760;1;1;0
Lithotanytarsus emarginatus;366776;3;3;0
Macropelopia adaucta;56456;2;4;1
Macropelopia fittkaui;1141611;3;4;1
Macropelopia johnseni;802718;10;10;1
Macropelopia nebulosa;95113;121;128;2
Macropelopia notata;74197;35;40;1
Mesocricotopus thienemanni;659014;56;57;1
Mesosmittia flexuella;750110;16;16;1
Metriocnemus carmencitabertarum;878940;1;1;0
Metriocnemus acutus;354579;3;3;1
Metriocnemus albolineatus;68654;2030;2038;2
Metriocnemus atriclava;751587;33;33;1
Metriocnemus beringensis;731408;13;14;3
Metriocnemus brusti;78799;207;208;1
Metriocnemus caudigus;56437;6;6;2
Metriocnemus eurynotus;56499;378;388;11
Metriocnemus exilacies;751163;0;2;0
Metriocnemus fuscipes;56415;175;179;8
Metriocnemus intergerivus;734743;106;108;4
Metriocnemus picipes;311343;509;511;2
Metriocnemus tristellus;141683;1;2;1
Metriocnemus ursinus;347342;98;100;4
Microchironomus tener;371466;176;197;12
Micropsectra atrofasciata;66114;313;318;2
Micropsectra roseiventris;66124;18;20;2
Micropsectra appendica;66113;17;19;1
Micropsectra apposita;728709;8;10;2
Micropsectra attenuata;56469;10;17;1
Micropsectra auvergnensis;1140931;3;3;0
Micropsectra borealis;350955;4;4;1
Micropsectra bumasta;350951;1;1;1
Micropsectra calcifontis;751169;7;7;2
Micropsectra contracta;66115;15;16;1
Micropsectra fusca;1141479;1;1;0
Micropsectra insignilobus;66116;211;213;6
Micropsectra junci;66117;79;82;4
Micropsectra klinki;673755;68;71;1
Micropsectra lacustris;204010;25;29;1
Micropsectra lindrothi;95110;60;62;1
Micropsectra logani;66119;506;510;1
Micropsectra utonaitertia;936648;1;1;1
Micropsectra mendli;350952;1;1;1
Micropsectra nana;309033;206;210;2
Micropsectra notescens;66120;27;29;2
Micropsectra oberaarensis;66128;2;2;1
Micropsectra pallidula;66121;60;60;1
Micropsectra pharetrophora;56447;3;3;1
Micropsectra polita;66122;2209;2215;5
Micropsectra radialis;56496;50;55;1
Micropsectra recurvata;66123;641;646;2
Micropsectra schrankelae;66125;14;15;1
Micropsectra seguyi;66126;2;2;1
Micropsectra sofiae;66127;13;14;2
Micropsectra uliginosa;350954;36;36;1
Micropsectra uva;558887;0;4;0
Microtendipes brevitarsis;348426;24;24;2
Microtendipes britteni;296271;15;16;5
Microtendipes chloris;377921;23;28;4
Microtendipes confinis;751588;9;9;1
Microtendipes nigellus;358711;3;3;1
Microtendipes pedellus;150145;604;625;6
Microtendipes rydalensis;576288;22;39;3
Microtendipes tarsalis;1141603;2;2;0
Microzetia mirabilis;856480;5;5;1
Molleriella calcarella;783487;5;6;1
Monodiamesa bathyphila;358719;26;31;3
Monodiamesa ekmani;751594;16;16;1
Monopelopia tenuicalcar;596326;1119;1137;2
Nanocladius anderseni;149351;90;91;3
Nanocladius distinctus;141631;6;8;2
Nanocladius minimus;141620;1;2;1
Nanocladius rectinervis;380635;29;31;3
Nanocladius balticus;731456;42;43;4
Nanocladius dichromus;380621;149;149;8
Natarsia punctata;371366;80;82;5
Neobrillia longistyla;991703;3;4;1
Neostempellina thienemanni;66148;7;7;1
Neozavrelia cuneipennis;56507;2;2;1
Neozavrelia fuldensis;728758;2;4;0
Nilotanypus dubius;342729;25;27;6
Nilothauma brayi;751180;5;5;1
Odontomesa fulva;673774;6;8;3
Oliveridia tricornis;347357;999;1002;1
Omisus caledonicus;731402;4;4;1
Orthocladius schnelli;257388;6;7;2
Orthocladius fuscimanus;141689;24;26;3
Orthocladius gelidus;672132;67;70;1
Orthocladius musester;731451;13;13;1
Orthocladius olivaceus;393572;326;378;2
Orthocladius priomixtus;56475;19;20;2
Orthocladius subletteorum;141635;121;125;3
Orthocladius ashei;782798;8;8;1
Orthocladius calvus;1140789;1;4;0
Orthocladius luteipes;297387;0;5;0
Orthocladius rivicola;150150;81;86;3
Orthocladius rivulorum;150161;138;143;6
Orthocladius roussellae;672131;304;306;1
Orthocladius saxosus;204008;60;62;3
Orthocladius thienemanni;393514;42;43;4
Orthocladius lamellatus;454288;6;8;3
Orthocladius carlatus;150169;73;73;4
Orthocladius decoratus;56486;202;206;4
Orthocladius dentifer;257387;5;9;1
Orthocladius excavatus;731450;2;2;1
Orthocladius frigidus;257386;108;112;5
Orthocladius glabripennis;788781;6;8;3
Orthocladius holsatus;762797;15;16;2
Orthocladius knuthi;393512;1;1;1
Orthocladius lapponicus;348438;2;4;1
Orthocladius oblidens;141705;363;368;2
Orthocladius obumbratus;150159;0;2;0
Orthocladius rhyacobius;728736;2;6;1
Orthocladius oliveri;150160;1259;1260;2
Orthocladius pedestris;728755;16;18;1
Orthocladius rivinus;936589;1;1;1
Orthocladius rubicundus;380639;191;192;4
Orthocladius ruffoi;1068101;3;3;1
Orthocladius smolandicus;393513;73;75;1
Orthocladius wetterensis;751773;5;5;2
Orthocladius consobrinus;204518;71;73;3
Orthocladius lignicola;786593;7;7;1
Orthocladius gelidorum;393511;54;58;3
Orthocladius nitidoscutellatus;204519;77;79;8
Orthocladius telochaetus;56485;58;58;1
Pagastiella orophila;731425;28;28;1
Paraboreochlus minutissimus;56434;6;8;2
Parachaetocladius abnobaeus;751191;3;3;1
Parachironomus biannulatus;731432;17;17;1
Parachironomus digitalis;380626;17;18;1
Parachironomus elodeae;252947;1;1;1
Parachironomus frequens;380641;19;28;4
Parachironomus gracilior;728769;50;53;2
Parachironomus mauricii;296262;0;1;0
Parachironomus monochromus;652991;62;65;4
Parachironomus paradigitalis;731418;4;4;1
Parachironomus parilis;380646;26;27;2
Parachironomus siljanensis;670232;7;7;1
Parachironomus subalpinus;358701;4;4;1
Parachironomus swammerdami;936653;1;1;1
Parachironomus tenuicaudatus;95086;109;111;4
Parachironomus varus;358700;2;2;2
Parachironomus vitiosus;728718;13;15;1
Paracladius alpicola;358723;124;124;1
Paracladius conversus;296267;3;9;1
Paracladius quadrinodosus;730537;5;6;2
Paracladopelma nigritulum;728726;2;5;1
Paracladopelma camptolabis;358715;31;35;4
Paracladopelma laminatum;728748;7;9;1
Paracladopelma mikianum;673463;7;7;0
Paracladopelma nigritula;765417;0;2;0
Paracladopelma undine;387811;3;5;1
Paracladopelma winnelli;149370;410;411;2
Paracricotopus niger;729776;8;9;2
Paracricotopus uliginosus;272756;10;18;1
Parakiefferiella bathophila;297388;107;110;8
Parakiefferiella coronata;387251;11;13;2
Parakiefferiella fennica;1068103;10;10;0
Parakiefferiella finnmarkica;731453;3;4;2
Parakiefferiella gracillima;56431;1;1;1
Parakiefferiella scandica;348422;3921;3924;1
Parakiefferiella smolandica;397059;113;113;1
Parakiefferiella wuelkeri;1140791;1;1;0
Paralauterborniella nigrohalteralis;102858;60;64;3
Paralimnophyes longiseta;731395;3;4;1
Parametriocnemus boreoalpinus;309131;210;215;1
Parametriocnemus lundbeckii;399398;6;6;1
Parametriocnemus stylatus;56425;232;235;8
Paraphaenocladius brevinervis;56483;211;211;1
Paraphaenocladius exagitans;95106;106;107;5
Paraphaenocladius impensus;95088;6974;7045;16
Paraphaenocladius intercedens;257398;4;6;1
Paraphaenocladius irritus;272765;20;23;3
Paraphaenocladius penerasus;958810;1;1;1
Paraphaenocladius pseudirritus;68668;102;106;4
Paraphaenocladius voltheus;981114;0;1;0
Micropsectra chionophila;309032;6;6;1
Micropsectra styriaca;387243;5;6;3
Parasmittia carinata;272762;8;8;1
Paratanytarsus brevicalcar;731448;5;6;2
Paratanytarsus abiskoensis;387803;76;78;1
Paratanytarsus austriacus;66133;404;420;4
Paratanytarsus bituberculatus;66134;59;60;4
Paratanytarsus dimorphis;519371;2;2;0
Paratanytarsus dissimilis;66135;295;302;3
Paratanytarsus grimmii;26980;517;524;2
Paratanytarsus hyperboreus;66136;10;10;2
Paratanytarsus inopertus;366770;32;41;2
Paratanytarsus intricatus;66137;7;7;3
Paratanytarsus laccophilus;149378;9059;9125;3
Paratanytarsus laetipes;66138;144;145;5
Paratanytarsus lauterborni;74205;103;108;3
Paratanytarsus natvigi;66139;350;351;8
Paratanytarsus penicillatus;68652;56;59;2
Paratanytarsus setosimanus;66140;267;269;7
Paratanytarsus tenellulus;728733;11;15;2
Paratanytarsus tenuis;66141;9;10;2
Paratendipes albimanus;262597;471;481;6
Paratendipes nubilus;728710;0;2;0
Paratendipes nudisquama;728753;7;8;1
Paratendipes subaequalis;371455;7;7;2
Paratrissocladius excerptus;727937;9;10;1
Parochlus kiefferi;68651;137;145;2
Parorthocladius nudipennis;1140949;4;5;0
Pentaneurella katterjokki;263434;16;19;1
Phaenopsectra flavipes;56429;72;82;5
Phaenopsectra punctipes;95084;287;288;7
Polypedilum sordens;722654;87;93;7
Polypedilum tritum;95109;104;108;3
Polypedilum uncinatum;454289;21;24;4
Polypedilum acutum;939833;3;3;1
Polypedilum albicorne;56457;106;113;1
Polypedilum amoenum;751776;3;3;1
Polypedilum convictum;150151;121;130;8
Polypedilum cultellatum;149373;102;107;8
Polypedilum laetum;642193;27;27;5
Chironomus laetus;1161526;20;20;1
Polypedilum nubeculosum;237180;531;539;11
Polypedilum tuberculum;769821;52;52;2
Polypedilum aegyptium;751181;2;2;1
Polypedilum asoprimum;762353;8;8;4
Polypedilum bicrenatum;751175;13;18;1
Polypedilum pullum;74204;48;51;4
Polypedilum quadriguttatum;371457;22;23;6
Polypedilum scalaenum;380637;158;171;10
Polypedilum simulans;141621;36;36;3
Polypedilum tetracrenatum;731426;2;2;1
Polypedilum absensilobum;967995;29;29;1
Polypedilum arundineti;396905;12;12;1
Polypedilum nubifer;26978;1385;1485;3
Polypedilum octopunctatum;727939;1;1;1
Polypedilum pedestre;396900;22;24;5
Polypedilum trigonus;751174;5;5;1
Potthastia gaedii;150167;12;16;4
Potthastia longimanus;534773;9;14;2
Potthastia montium;936663;4;4;1
Potthastia pastoris;731440;2;2;1
Procladius appropinquatus;751593;7;10;2
Procladius choreus;504503;83;114;6
Procladius culiciformis;371464;80;82;5
Procladius dentus;272779;1129;1132;1
Procladius ferrugineus;371463;21;21;1
Procladius frigidus;971929;32;32;1
Procladius islandicus;765418;5;6;2
Procladius nudipennis;731427;6;6;1
Procladius paragretis;396922;40;40;1
Procladius barbatus;396908;340;340;1
Procladius sagittalis;371462;16;16;2
Procladius signatus;393515;20;20;1
Procladius pruinosus;1129567;60;60;1
Procladius flavifrons;751778;10;10;1
Procladius imicola;731442;4;5;1
Procladius nigriventris;396912;17;20;1
Procladius lugens;856402;4;6;1
Procladius rufovittatus;731431;730;731;1
Procladius crassinervis;56488;158;167;7
Procladius holotanypus;728715;0;1;0
Procladius longistylus;856405;0;1;0
Procladius psilotanypus;728716;0;1;0
Procladius simplicistylus;969372;3;3;1
Prodiamesa olivacea;68671;151;161;1
Propsilocerus paradoxus;941809;6;6;1
Propsilocerus saetheri;348424;5;8;1
Prosmittia jemtlandica;479147;195;203;4
Protanypus caudatus;296268;6;9;1
Protanypus morio;296258;8;10;1
Psectrocladius obvius;272768;54;66;2
Psectrocladius platypus;401649;29;34;2
Psectrocladius barbatipes;751601;0;2;0
Psectrocladius calcaratus;401652;12;15;1
Psectrocladius barbimanus;371358;387;390;4
Psectrocladius bisetus;751162;5;8;1
Psectrocladius fennicus;401654;336;340;6
Psectrocladius limbatellus;68661;93;96;7
Psectrocladius oligosetus;272754;9;9;2
