Eylais canariensis;Eylais planipons
Frontipodopsis reticulatifrons;Frontipodopsis reticulatifrons
Parathyas rarus;Parathyas palustris
Atractides maderensis;Torrenticola maderensis
Atractides similis;Torrenticola similis
Lethaxona pygmaea;Lethaxona pygmaea
Acercopsis pistillifer;Acercopsis pistillifer
Limnolegeria longiseta ;Limnolegeria longiseta 
Torrenticola maderensis;Torrenticola maderensis
Pyropteron nigrobarbata;Pyropteron minianiformis
Synanthedon herzi;Synanthedon formicaeformis
Euxoa emolliens;Euxoa christophi
Sympistis lapponica;Pararctia lapponica
Chaetocladius guisseti;Chaetocladius (Chaetocladius) guisseti
Virgatanytarsus rossaroi;Tanytarsus rossaroi
Adactylotis inquinitaria;Adactylotis gesticularia;
Adamsia palliata;Adamsia palliata;ITIS
Adela collicollella;Adela collicolella;
Adela repediella;Adela repetitella;
Aedes aegypti;Aedes (Stegomyia) aegypti;ITIS
Aedes albopictus;Aedes (Stegomyia) albopictus;ITIS
Aedes annulipes;Aedes (Ochlerotatus) annulipes;ITIS
Aedes atropalpus;Aedes (Georgecraigius) atropalpus;ITIS
Aedes berlandi;Aedes berlandi;ITIS
Aedes cantans;Aedes (Ochlerotatus) cantans;ITIS
Aedes caspius;Aedes (Ochlerotatus) caspius;ITIS
Aedes cataphylla;Aedes cataphylla;ITIS
Aedes cinereus;Aedes (Aedes) cinereus;ITIS
Aedes communis;Aedes (Ochlerotatus) communis;ITIS
Aedes cretinus;Aedes (Stegomyia) cretinus;ITIS
Aedes detritus;Aedes (Ochlerotatus) detritus;ITIS
Aedes diantaeus;Aedes diantaeus;ITIS
Aedes dorsalis;Aedes (Ochlerotatus) dorsalis;ITIS
Aedes echinus;Aedes (Dahliana) echinus;ITIS
Aedes excrucians;Aedes (Ochlerotatus) excrucians;ITIS
Aedes flavescens;Aedes (Ochlerotatus) flavescens;ITIS
Aedes flavopictus;Aedes (Stegomyia) flavopictus;ITIS
Aedes geniculatus;Aedes (Dahliana) geniculatus;ITIS
Aedes gilcolladoi;Aedes (Dahliana) gilcolladoi;ITIS
Aedes hendersoni;Aedes (Protomacleaya) hendersoni;ITIS
Aedes hexodontus;Aedes hexodontus;ITIS
Aedes hungaricus;Aedes hungaricus;ITIS
Aedes impiger;Aedes (Ochlerotatus) impiger;ITIS
Aedes intrudens;Aedes intrudens;ITIS
Aedes koreicus;Aedes (Hulecoeteomyia) koreicus;ITIS
Aedes lepidonotus;Aedes (Rusticoidus) lepidonotus;ITIS
Aedes leucomelas;Aedes (Ochlerotatus) leucomelas;ITIS
Aedes mariae;Aedes (Acartomyia) mariae;ITIS
Aedes nigrinus;Aedes (Ochlerotatus) nigrinus;ITIS
Aedes nigripes;Aedes (Ochlerotatus) nigripes;ITIS
Aedes phoeniciae;Aedes (Acartomyia) phoeniciae;ITIS
Aedes pulcritarsis;Aedes (Ochlerotatus) pulcritarsis;ITIS
Aedes pullatus;Aedes (Ochlerotatus) pullatus;ITIS
Aedes punctor;Aedes (Ochlerotatus) punctor;ITIS
Aedes refiki;Aedes (Rusticoidus) refiki;ITIS
Aedes riparius;Aedes riparius;ITIS
Aedes rossicus;Aedes (Aedes) rossicus;
Aedes rusticus;Aedes (Rusticoidus) rusticus;ITIS
Aedes sticticus;Aedes (Ochlerotatus) sticticus;ITIS
Aedes vexans;Aedes (Aedimorphus) vexans;ITIS
Aedes vittatus;Aedes (Fredwardsius) vittatus;ITIS
Aedes zammitii;Aedes (Acartomyia) zammitii;ITIS
Aega bicarinata;Aega bicarinata;WORMS
Aega psora;Aega psora;WORMS
Aega stroemii;Aega bicarinata;ITIS
Aegaeon cataphracta;Aegaeon cataphractus;
Aegle vespertalis;Aegle vespertinalis;
Aepus marinus;Aepus gallaecus;FE
Aetheria dysodea;Hecatera dysodea;
Aethiessa squamosa;Cetonia asiatica;
Aetideopsis armatus;Aetideopsis armata;
Agapanthia pannonica;Agapanthia cardui;
Agathidium atrum;Agathidium laevigatum;FE
Agathidium confusum;Agathidium bescidicum;FE
Agathidium mandibulare;Agathidium varians;FE
Agathidium nigrinum;Agathidium laevigatum;
Agathidium pallidum;Agathidium varians;FE
Agathidium rotundatum;Agathidium bescidicum;FE
Agathidium seminulum;Agathidium marginatum;FE
Agdistis heydeni;Agdistis heydenii;FE
Agenioideus apicalis;Agenioideus apicalis;HySI
Agenioideus ciliatus;Agenioideus ciliatus;HySI
Agenioideus cinctellus;Agenioideus cinctellus;HySI
Agenioideus dichrous;Agenioideus dichrous;HySI
Agenioideus excisus;Agenioideus excisus;HySI
Agenioideus nubecula;Agenioideus nubecula;HySI
Agenioideus nubeculus;Agenioideus nubecula;
Agenioideus sericeus;Agenioideus usurarius;HySI
Agenioideus usurarius;Agenioideus usurarius;HySI
Aglaophamus pulchra;Aglaophamus pulcher;
Aglaophamus rubellus;Aglaophamus agilis;
Aglossa brabantii;Aglossa brabanti;
Agnetina elegantula;Dinocras cephalotes;FE
Agonum consimile;Europhilus scitulum;
Agonum gracile;Europhilus fuliginosum;
Agramma atricapillum;Agramma (Agramma) atricapillum;FE
Agramma confusum;Agramma (Agramma) confusum;FE
Agramma femorale;Agramma (Agramma) femorale;
Agramma laetum;Agramma (Agramma) laetum;FE
Agramma minutum;Agramma (Agramma) minutum;
Agramma ruficorne;Agramma (Agramma) ruficorne;FE
Agramma tropidopterum;Agramma (Agramma) tropidopterum;
Agriades glandon;Plebejus glandon;FD
Agriades pyrenaicus;Agriades pyrenaica;
Agrilus angustulus;Agrilus derasofasciatus;FE
Agrilus ater;Agrilus angustulus;FE
Agrilus cisti;Agrilus elegans;
Agrilus cuprescens;Agrilus sericans;ITIS
Agrilus graecus;Agrilus roscidus;
Agrilus populneus;Agrilus suvorovi;
Agrilus salicis;Agrilus cuprescens;FE
Agrilus viridis;Agrilus angustulus;FE
Agriopis beschkovi;Kresnaia beschkovi;
Agriopis defoliaria;Erannis defoliaria;
Agriphila poliella;Agriphila poliellus;
Agrochola circellaris;Sunira circellaris;BT
Agrochola dujardini;Agrochola pistacinoides;
Agrochola Iota;Agrochola lota;
Agrochola wolfschlaegeri;Agrochola kindermannii;
Agromyza albitarsis;Agromyza alnivora;SyDip
Agromyza frontella;Liriomyza frontella;ITIS
Agrotis boetica;Agrotis boeticus;FE
Agrotis crassa;Agrotis bigramma;
Agrotis graslini;Agrotis graslinii;
Agrypnetes crassicornis;Agrypnia crassicornis;
Agyneta mossica;Meioneta mossica;
Alastor biegelebeni;Alastor mocsaryi;
Alburnoides bipunctatus;Alburnoides fasciatus;WORMS
Alburnoides tzanevi;Alburnoides fasciatus;
Alburnus alburnus;Alburnus arborella;WORMS
Alburnus chalcoides;Alburnus danubicus;WORMS
Alburnus scoranza;Alburnus alburnus;
Alcis bastelbergeri;Alcis deversata;FE
Allancastria cerisyi;Zerynthia cerisy;
Allancastria cretica;Zerynthia cretica;FE
Allodia anglofennica;Allodia (Allodia) anglofennica;
Allodia lugens;Allodia (Allodia) lugens;ITIS
Allodia lundstroemi;Allodia (Allodia) lundstroemi;
Allodia ornaticollis;Allodia (Allodia) ornaticollis;ITIS
Allodia truncata;Allodia (Allodia) truncata;
Allodia zaitzevi;Allodia (Allodia) zaitzevi;
Allodiopsis korolevi;Allodiopsis (Allodiopsis) korolevi;
Allodiopsis rustica;Allodiopsis (Allodiopsis) rustica;FE
Allolobophora chaetophora;Eophila chaetophora;
Allolobophora cupulifera;Aporrectodea cupulifera;
Allolobophora longa;Aporrectodea longa;
Allolobophora mehadiensis;Eophila mehadiensis;
Allolobophora sausseyi;Eophila sausseyi;
Allolobophora smaragdina;Aporrectodea smaragdina;
Allomyella albipennis;Microprosopa (Allomyella) albipennis;FE
Allomyella frigida;Microprosopa (Allomyella) frigida;ITIS
Allophyes parenzani;Allophyes corsica;
Alloteuthis media;Loligo media;
Alloteuthis subulata;Loligo subulata;
Allotrichoma bezzii;Allotrichoma (Allotrichoma) bezzii;
Allotrichoma filiforme;Allotrichoma (Allotrichoma) filiforme;
Allotrichoma schumanni;Allotrichoma (Allotrichoma) schumanni;
Allotrichoma strandi;Allotrichoma (Allotrichoma) strandi;
Alosa alosa;Alosa vistonica;WORMS
Alosa fallax;Alosa killarnensis;FB
Altica pusilla;Altica helianthemi;
Alysson ratzeburgi;Alysson spinosus;HySI
Alysson spinosus;Alysson jaroslavensis;HySI
Amara makolskii;Amara communis;
Amara ovata;Amara littorea;FE
Amata kruegeri;Amata marjana;FE
Amauromyza chenopodivora;Amauromyza (Cephalomyza) chenopodivora;
Amauromyza flavifrons;Amauromyza (Cephalomyza) flavifrons;ITIS
Amauromyza gyrans;Amauromyza (Trilobomyza) gyrans;
Amauromyza labiatarum;Amauromyza (Trilobomyza) labiatarum;
Amauromyza luteiceps;Amauromyza (Cephalomyza) luteiceps;
Amauromyza monfalconensis;Amauromyza (Cephalomyza) monfalconensis;
Amauromyza morionella;Amauromyza (Amauromyza) morionella;FE
Amauromyza verbasci;Amauromyza (Trilobomyza) verbasci;
Amblygamasus mirabilis;Pergamasus mirabilis;
Amegilla magnilabris;Amegilla savignyi;FE
Amiota albilabris;Amiota (Amiota) albilabris;FE
Amiota alboguttata;Amiota (Amiota) alboguttata;FE
Amiota semivirgo;Phortica (Phortica) semivirgo;
Amiota setigera;Amiota (Amiota) setigera;
Ammophila iberica;Ammophila heydeni;
Ammophila pubescens;Ammophila pubescens;ITIS
Ammoplanus perrisi;Ammoplanus perrisi;HySI
Amorphogynia necessaria;Lycia necessaria;FE
Ampelisca pectenata;Ampelisca brevicornis;
Amphiglossus johannae;Flexiseps johannae;
Amphitrite figulus;Neoamphitrite figulus;
Anagrus incarnatosimilis;Anagrus incarnatus;
Anaproutia comitella;Proutia comitella;FE
Anaproutia norvegica;Proutia norvegica;FE
Anaproutia raiblensis;Proutia raiblensis;FE
Anaproutia reticulatella;Proutia reticulatella;FE
Anaspis humeralis;Anaspis fasciata;
Anaspis quadrimaculata;Anaspis fasciata;
Anaspis thoracica;Anaspis ruficollis;FE
Anastatus bifasciatus;Anastatus oscari;FE
Anasterias perrieri;Lysasterias perrieri;ITIS
Ancylosis sareptella;Ancylosis sareptalla;
Andrena albofasciata;Andrena ovatula;
Andrena batava;Andrena apicata;
Andrena bicolor;Andrena clarkella;ITIS
Andrena bicolorata;Andrena savignyi;ITIS
Andrena bimaculata;Andrena nudigastroides;ITIS
Andrena bluethgeni;Andrena bimaculata;
Andrena chrysopyga;Andrena pruinosa;ITIS
Andrena danuvia;Andrena cineraria;
Andrena eximia;Andrena rosae;
Andrena fertoni;Andrena solenopalpa;
Andrena fulva;Andrena marginata;ITIS
Andrena fulvicornis;Andrena nitidiuscula;
Andrena gravida;Andrena griseobalteata;ITIS
Andrena intermedia;Andrena bimaculata;
Andrena jacobi;Andrena carantonica;
Andrena labialis;Andrena hattorfiana;ITIS
Andrena mediovittata;Andrena mediovittata;ITIS
Andrena montana;Andrena setosifemoralis;
Andrena morawitzi;Andrena bimaculata;
Andrena nigrospina;Andrena pilipes;
Andrena oralis;Andrena medeninensis;ITIS
Andrena ovata;Andrena ovatula;
Andrena panurgina;Andrena panurgina;ITIS
Andrena pauxilla;Andrena curtula;
Andrena propinqua;Andrena dorsata;BEL
Andrena propinqua Schenk;Andrena dorsata;
Andrena proxima;Andrena bicolor;ITIS
Andrena proxima (SE/C);Andrena proxima ;
Andrena stragulata;Andrena rosae;FE
Andrena strohmella;Andrena strohmella;ITIS
Andrena tyrrhena;Andrena vetula;
Anelosimus vittatus;Selimus vittatus;
Aneurus avenius;Aneurus (Aneurodes) avenius;
Aneurus laevis;Aneurus (Aneurus) laevis;ITIS
Aneurus macrotylus;Aneurus (Neaneurus) macrotylus;
Aneurus tagasastei;Aneurus (Aneurodes) tagasastei;
Angioneura acerba;Melanomya (Angioneura) acerba;FE
Anisobas jugorum;Anisobas rebellis;
Anobium pertinax;Anobium punctatum;
Anobium rufipes;Cacotemnus rufipes;
Anodonta exulcerata;Anodonta anatina;
Anomala dubia;Anomala undulata;FE
Anonyx affinis;Anonyx ochoticus;ITIS
Anonyx nugax;Anonyx sarsi;
Anopheles algeriensis;Anopheles (Anopheles) algeriensis;
Anopheles atroparvus;Anopheles (Anopheles) atroparvus;
Anopheles beklemishevi;Anopheles (Anopheles) beklemishevi;
Anopheles claviger;Anopheles (Anopheles) claviger;FE
Anopheles crucians;Anopheles (Anopheles) crucians;
Anopheles daciae;Anopheles (Anopheles) daciae;
Anopheles hyrcanus;Anopheles (Anopheles) hyrcanus;FE
Anopheles labranchiae;Anopheles (Anopheles) labranchiae;
Anopheles maculipennis;Anopheles (Anopheles) maculipennis;
Anopheles marteri;Anopheles (Anopheles) marteri;
Anopheles melanoon;Anopheles (Anopheles) melanoon;
Anopheles messeae;Anopheles (Anopheles) messeae;
Anopheles petragnani;Anopheles (Anopheles) petragnani;
Anopheles pharoensis;Anopheles (Cellia) pharoensis;
Anopheles plumbeus;Anopheles (Anopheles) plumbeus;
Anopheles pseudopictus;Anopheles (Anopheles) pseudopictus;
Anopheles sacharovi;Anopheles (Anopheles) sacharovi;
Anopheles stephensi;Anopheles (Cellia) stephensi;
Anopheles subpictus;Anopheles (Cellia) subpictus;
Anopheles superpictus;Anopheles (Cellia) superpictus;
Anoplius aeruginosus;Anoplius aeruginosus;HySI
Anoplius caviventris;Anoplius caviventris;HySI
Anoplius infuscatus;Anoplius infuscatus;HySI
Anoplius tenuicornis;Anoplius suspectus;HySI
Anoplius viaticus;Tachyagetes haupti;HySI
Anospilus orbitalis;Anospilus larachei;HySI
Ansates pellucida;Patella pellucida;
Antalis occidentale;Antalis occidentalis;
Anteon cameroni;Anteon gaullei;
Anthaxia confusa;Anthaxia barri;
Anthaxia discicollis;Anthaxia tuerki;
Anthaxia millefolii;Anthaxia nitidula;FE
Anthaxia similis;Melanthaxia morio;
Anthaxia spinolae;Anthaxia chevrieri;
Anthicus constrictus;Cyclodinus constrictus;
Anthidium strigatum;Anthidiellum strigatum;
Anthocaris cardamines;Anthocharis cardamines;
Anthocharis belia;Anthocharis belia;AH
Anthocoris minki;Anthocoris minki ;
Anthomyia liturata;Delia florilega;ITIS
Anthomyia monilis;Fannia monilis;SyDip
Anthomyza gracilis;Hydrophoria linogrisea;SyDip
Anthomyza socculata;Eutrichota socculata;FE
Anthophila fabriciania;Anthophila fabriciana;
Anthophora atriceps;Anthophora angolensis;ITIS
Anthophora canescens;Megachile melanota;ITIS
Anthophora gallica;Anthophora quadricolor;
Anthophora mucida;Habropoda cressonii;ITIS
Anthophora plumipes;Amegilla atrocincta;ITIS
Anthophora salviae;Amegilla salviae;
Anthrenus vorax;Anthrenus flavipes;
Anticlea badiata;Earophila badiata;
Antispila petryi;Antispila treitschkiella;
Antocha vitripennis;Antocha (Antocha) vitripennis;FE
Apalochrus femoralis;Paratinus femoralis;
Apamea assimilis;Apamea exulis;
Apamea lithoxylea;Apamea lithoxylaea;
Apamea lithoxylia;Apamea lithoxylaea;
Apamea michielli;Apamea michielii;
Apamea schildei;Apamea kuusamoensis;FE
Apatetris agenjoi;Catatinagma agenjoi;
Apatetris mediterranella;Mondeguina mediterranella;
Aphanius maeandricus;Aphanius splendens;
Aphanius mentoides;Aphanius mento;
Aphanius sophiae;Aphanius mento;FB
Aphelia ochreana;Aphelia ferugana;
Aphelia paleana;Zelotherses paleana;
Aphelia unitana;Zelotherses unitana;
Aphelinus longicornis;Aphelinus annulipes;
Aphelocheirus aestivalis;Aphelocheirus (Aphelocheirus) aestivalis;FE
Aphelopus holomelas;Aphelopus atratus;
Apherusa megalops;Apherusa sarsii;
Aphidius ribis;Aphidius ribis;ITIS
Aphis hypochoeridis;Uroleucon hypochoeridis;FE
Aphodius convexus;Agrilinus convexus;
Aphomia zelleri;Lamoria zelleri;
Aphyosemion bochtleri;Aphyosemion herzogi;
Aphyosemion calliurum;Aphyosemion ahli;FB
Aphyosemion georgiae;Aphyosemion fulgens;FB
Aphyosemion halleri;Aphyosemion cameronense;
Aphyosemion hanneloreae;Aphyosemion wuendschi;
Aphyosemion obscurum;Aphyosemion cameronense;
Aphyosemion ogoense;Aphyosemion caudofasciatum;FB
Aphyosemion pyrophore;Aphyosemion ogoense;
Aphyosemion striatum;Aphyosemion escherichi;FB
Aplota kadeniella;Aplota nigricans;
Aplota palpella;Aplota palpellus;FE
Apocheima pilosaria;Phigalia pilosaria;
Apodemus microps;Apodemus uralensis;
Apodolycus hureaui;Lycenchelys hureaui;
Aponoea obtusipalpis;Holcophora obtusipalpis;
Apopests spectrum;Apopestes spectrum;
Aporinellus moestus;Aporinellus moestus;HySI
Aporinellus sexmaculatus;Aporinellus sexmaculatus;HySI
Aporrectodea terrestris;Aporrectodea giardi;FE
Aporus bicolor;Evagetes dubius;HySI
Aprionus pyxidiifer;Aprionus pullatus;
Aproaerema genistae;Syncopacma genistae;
Aproaerema ochrofasciella;Syncopacma ochrofasciella;
Aproaerema thaumalea;Syncopacma thaumalea;
Aproaerema vinella;Syncopacma vinella;
Apseudes talpa;Apseudes holthuisi;ITIS
Apterola kuenckeli;Apterola (Apterola) kuenckeli;FE
Apterona crenulella;Apterona helicoidella;AH / WA
Apterona helicoidella;Apterona helicoidella;FD
Arachnospila alpivaga;Arachnospila alpivaga;HySI
Arachnospila anceps;Arachnospila anceps;HySI
Arachnospila colpostoma;Arachnospila colpostoma;HySI
Arachnospila consobrina;Arachnospila colpostoma;HySI
Arachnospila fumipennis;Dicyrtomellus tingitanus;HySI
Arachnospila fuscomarginata;Arachnospila fuscomarginata;HySI
Arachnospila gibbomima;Arachnospila gibbomima;HySI
Arachnospila hedickei;Arachnospila hedickei;HySI
Arachnospila minutula;Arachnospila minutula;HySI
Arachnospila opinata;Arachnospila mongolopinata;HySI
Arachnospila rufa;Arachnospila rufa;HySI
Arachnospila sogdianoides;Arachnospila sogdianoides;HySI
Arachnospila spissa;Arachnospila spissa;HySI
Arachnospila trivialis;Arachnospila trivialis;HySI
Arachnospila usurata;Arachnospila asiatica;
Arachnospila westerlundi;Arachnospila guentheri;
Aradus angularis;Aradus (Aradus) angularis;
Aradus betulae;Aradus (Aradus) betulae;ITIS
Aradus betulinus;Aradus (Aradus) betulinus;
Aradus bimaculatus;Aradus (Aradus) bimaculatus;
Aradus brenskei;Aradus (Aradus) brenskei;
Aradus brevicollis;Aradus (Aradus) brevicollis;
Aradus cinnamomeus;Aradus (Aradus) cinnamomeus;
Aradus conspicuus;Aradus (Aradus) conspicuus;
Aradus corticalis;Aradus (Aradus) corticalis;FE
Aradus crenaticollis;Aradus (Aradus) crenaticollis;
Aradus depressus;Aradus (Aradus) depressus;FE
Aradus dissimilis;Aradus (Aradus) dissimilis;
Aradus distinctus;Aradus (Aradus) distinctus;
Aradus erosus;Aradus (Aradus) erosus;
Aradus flavicornis;Aradus (Aradus) flavicornis;
Aradus graecus;Aradus (Aradus) graecus;
Aradus krueperi;Aradus (Aradus) krueperi;
Aradus kuthyi;Aradus (Aradus) kuthyi;
Aradus lugubris;Aradus (Aradus) lugubris;
Aradus obtectus;Aradus (Aradus) obtectus;
Aradus pallescens;Aradus (Aradus) pallescens;
Aradus pictus;Aradus (Aradus) pictus;
Aradus ribauti;Aradus (Aradus) ribauti;
Aradus serbicus;Aradus (Aradus) serbicus;
Aradus signaticornis;Aradus (Aradus) signaticornis;
Aradus truncatus;Aradus (Aradus) truncatus;
Aradus versicolor;Aradus (Aradus) versicolor;
Archanara algae;Globia algae;
Archanara geminipuncta;Lenisa geminipuncta;
Archanara sparganii;Globia sparganii;
Archisotoma besselsi;Archisotoma besselsii;FE
Architeuthis dux;Architeuthis dux;WORMS
Arctia fasciata;Arctia tigrina;
Ardenna gravis;Puffinus gravis;
Ardenna grisea;Puffinus griseus;
Argentina silus;Argentina sphyraena;WORMS
Argynnis adippe;Fabriciana adippe;
Argynnis aglaja;Speyeria aglaja;
Argynnis niobe;Fabriciana niobe;
Aricia allous;Aricia artaxerxes;
Aricia eumedon;Eumedonia eumedon;FE
Aricidea catherinae;Acmira catherinae;
Arion alpinus;Kobeltia intermedius;
Armiger crista;Gyraulus crista;FE
Arrenurus kjerrmani;Arrenurus kjerrmanni;
Arrenurus ornatus;Arrenurus compactus;
Arrenurus refractarioulus;Arrenurus refractariolus;
Artemia parthenogenetica;Artemia urmiana;
Arvicola terrestris;Arvicola amphibius;FE
Asecodes parviclava;Asecodes lucens;
Asellus aquaticus;Asellus aquaticus;ITIS
Aspidontus taeniatus;Aspidontus tractus;WORMS
Aspidophoroides olrikii;Aspidophoroides olrikii;FB
Aspilapteryx limosella;Sabulopteryx limosella;FE
Aspilates collinaria;Aspitates collinaria;
Astacus leptodactylus;Pontastacus leptodactylus;
Astarte moerchi;Astarte borealis;
Astata boops;Astata graeca;HySI
Astata costae;Astata costae;HySI
Astata minor;Astata kashmirensis;HySI
Astata rufipes;Astata kashmirensis;HySI
Asteia amoena;Asteia (Asteia) amoena;
Asteia beata;Asteia (Asteia) beata;
Asteia concinna;Asteia (Asteia) concinna;
Asteia elegantula;Asteia (Asteia) elegantula;
Astenus longelytratus;Astenus lyonessius;
Astenus procerus;Astenognathus procerus;
Asterina gibbosa (Pennant 1777);Asterina gibbosa ;
Atherina presbyter;Atherina boyeri;WORMS
Atheta fungi;Mocyta fungi;
Athous puncticollis;Athous vittatus;
Athrips patochkai;Athrips patockai;
Athrips tetrapunctellus;Athrips tetrapunctella;
Athyroglossa flaviventris;Athyroglossa (Athyroglossa) flaviventris;FE
Athyroglossa glabra;Athyroglossa (Athyroglossa) glabra;ITIS
Athyroglossa ordinata;Athyroglossa (Parathyroglossa) ordinata;
Atlantarctia tigrina;Arctia tigrina;FE
Atomaria basalis;Anchicera atricapilla;
Atomaria fuscata;Atomaria nigrirostris;ITIS
Atomaria longicornis;Atomaria procerula;
Atomaria nitidula;Anchicera peltata;
Atomaria ornata;Anchicera versicolor;
Atomaria rubella;Anchicera fuscata;
Atomaria turgida;Anchicera versicolor;
Atomaria vespertina;Atomaria pulchra;ITIS
Atomaria wollastoni;Atomaria alpina;
Atractides robustus;Monatractides madritensis;FE
Atrichopogon brunnipes;Atrichopogon (Atrichopogon) brunnipes;FE
Atrichopogon flavolineatus;Atrichopogon (Psammopogon) flavolineatus;
Atrichopogon forcipatus;Atrichopogon (Psilokempia) forcipatus;
Atrichopogon fusculus;Atrichopogon (Lophomyidium) fusculus;ITIS
Atrichopogon hirtidorsum;Atrichopogon (Atrichopogon) hirtidorsum;
Atrichopogon longicalcar;Atrichopogon (Atrichopogon) longicalcar;
Atrichopogon lucorum;Atrichopogon (Meloehelea) lucorum;ITIS
Atrichopogon maculatus;Atrichopogon (Atrichopogon) maculatus;FE
Atrichopogon meloesugans;Atrichopogon (Meloehelea) meloesugans;
Atrichopogon minutus;Atrichopogon (Atrichopogon) minutus;ITIS
Atrichopogon muelleri;Atrichopogon (Psammopogon) muelleri;
Atrichopogon oedemerarum;Atrichopogon (Meloehelea) oedemerarum;
Atrichopogon paulus;Atrichopogon (Psilokempia) paulus;
Atrichopogon pavidus;Atrichopogon (Atrichopogon) pavidus;FE
Atrichopogon winnertzi;Atrichopogon (Meloehelea) winnertzi;
Atyaephyra acheronensis;Atyaephyra desmarestii;
Atypophthalmus inustus;Limonia (Atypophthalmus) inustus;FE
Atypophthalmus quinquevittatus;Limonia (Atypophthalmus) quinquevittatus;FE
Aulopus filamentosus;Aulopus filamentosus;WORMS
Aulostomus chinensis;Aulostomus strigosus;WORMS
Auplopus albifrons;Auplopus albifrons;HySI
Auplopus carbonarius;Auplopus carbonarius;HySI
Auplopus rectus;Auplopus albifrons;HySI
Austrolimnophila analis;Austrolimnophila (Austrolimnophila) analis;FE
Austrolimnophila harperi;Austrolimnophila (Archilimnophila) harperi;ITIS
Austrolimnophila latistyla;Austrolimnophila (Austrolimnophila) latistyla;
Austrolimnophila ochracea;Austrolimnophila (Austrolimnophila) ochracea;FE
Austrolimnophila unica;Austrolimnophila (Archilimnophila) unica;ITIS
Autalia rivularis;Autalia puncticollis;FE
Auxis rochei;Auxis eudorax;WORMS
Baccha obscuripennis;Baccha perexilis;
Bacotia claustrella;Bacotia sepium;FE
Bactrocera kirki;Bactrocera (Bactrocera) kirki;ITIS
Bactrocera obscurata;Bactrocera (Bactrocera) obscurata;
Bactrocera oleae;Bactrocera (Daculus) oleae;ITIS
Bactrocera passiflorae;Bactrocera (Bactrocera) passiflorae;ITIS
Bactrocera xanthodes;Bactrocera (Notodacus) xanthodes;ITIS
Baeosciara discolor;Trichosia (Baeosciara) discolor;FE
Baeosciara scotica;Trichosia (Baeosciara) scotica;FE
Baeotendipes noctivaga;Baeotendipes noctivagus;SyDip
Balanus improvisus;Amphibalanus improvisus;
Balanus perforatus;Perforatus perforatus;
Balistes capriscus;Balistes capriscus;FB
Bankesia conspurcatella;Bankesia douglasii;FE
Bapta temerata;Lomographa temerata;
Barbatula barbatula;Barbatula nuda;FB
Barbus barbus;Pseudobarbus burgi;FB
Barbus bergi;Pseudobarbus burgi;FB
Barbus cyclolepis;Barbus waleckii;FB
Barbus euboicus;Barbus sperchiensis;FB
Barbus meridionalis;Barbus petenyi;
Barbus plebejus;Luciobarbus escherichii;FB
