species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Scythris parnassiae;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris pascuella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;3;3;1;FE;;894268
Scythris paullella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;2;3;1;FE;;517073
Scythris penicillata;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;6;6;1;FE;;363330
Scythris perlucidella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;1;4;1;FE;;659375
Scythris petrella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;3;3;1;;;970639
Scythris picaepennis;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;33;35;1;FE;;198023
Scythris pilella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris pinkeri;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris platypyga;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;FE;gap;
Scythris podoliensis;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris polycarpaeae;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris popescugorji;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris potentillella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;18;22;3;FE;;286324
Scythris productella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;3;3;1;FE;;286298
Scythris psammitis;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;;;;;gap;
Scythris pseudarachnodes;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;;;;;gap;
Scythris pseudoarachnodes;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE;3;3;1;;;970636
Scythris pseudolocustella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;3;3;1;;;659492
Scythris pudorinella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;2;4;1;FE;;659388
Scythris pulicella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;FE;gap;
Scythris punctivittella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;5;5;1;FE;;363333
Scythris remexella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;1;3;1;FE;;659377
Scythris richteri;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;;;;;gap;
Scythris ridiculella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;3;4;1;;;363342
Scythris rondaensis;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris rouxella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;0;2;0;FE;gap;363323
Scythris rowecki;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;;;;;gap;
