species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Mordellistena festiva;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena flavella;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena flavospinosa;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena flavospinulosa;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena fuscogemellata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena fuscogemellatoides;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena gallica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena gemellata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena geronensis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena gfelleri;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena goetzi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena grandii;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena grisea;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena helvetica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena hirtipes;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;61;61;2;;;981600
Mordellistena hollandica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena horioni;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena horvathi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena humeralis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE,iNat;21;32;3;FE;;330289
Mordellistena humeropicta;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena hungarica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena imitatrix;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena inaequalis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena inexpectata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena intersecta;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena irritans;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena istrica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena klapperichi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena kochi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena koelleri;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena korschefskyana;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mordellistena kraatzi;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;6;6;1;;;507301
Mordellistena krauseri;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena krujanensis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena lesbia;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena lichtneckerti;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena lindbergi;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;6;6;2;;;981599
Mordellistena lonai;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena longicornis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena longicornoides;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena lusitanica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena luteipalpis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena luteispina;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena magyarica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena majuscula;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena manteroi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena mazedonica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena mediana;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena mediogemellata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena meuseli;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mordellistena micans;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;FE;gap;
Mordellistena michalki;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;2;2;0;;;1023023
Mordellistena microgemellata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena microscopica;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena mihoki;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
