species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Ochthebius dilatatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;5;10;1;;;480668
Ochthebius dilucidus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius empedocles;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius evanescens;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911395
Ochthebius exsculptus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;7;17;2;ITIS;;275134
Ochthebius eyrei;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911396
Ochthebius fausti;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;FE;gap;
Ochthebius faustinus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;652621
Ochthebius ferroi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;2;0;;gap;911397
Ochthebius figueroi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911398
Ochthebius flavipes;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;5;6;1;;;652622
Ochthebius fossulatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius foveolatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;2;4;1;;;652623
Ochthebius freyi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;6;1;;;911399
Ochthebius gagliardii;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652624
Ochthebius gayosoi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;;;652626
Ochthebius gereckei;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;18;1;;;911400
Ochthebius gestroi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius gibbosus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;4;7;2;ITIS;;652627
Ochthebius glaber;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;2;92;1;;;168371
Ochthebius grandipennis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652628
Ochthebius granulatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;2;5;1;ITIS;;275135
Ochthebius haberfelneri;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius haelii;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius halbherri;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;ITIS;;652631
Ochthebius hebaueri;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius heeri;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;7;1;;;911041
Ochthebius hellenicus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;FE;gap;
Ochthebius heydeni;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;3;4;1;;;652633
Ochthebius hungaricus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius hyblaemajoris;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius impressipennis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius insidiosus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius irenae;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652635
Ochthebius italicus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius iternuptialis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius javieri;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius jermakovi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius joosti;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652637
Ochthebius kaninensis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius lanuginosus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911412
Ochthebius lapidicola;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;911413
Ochthebius laticollis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius latinorum;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;FE;gap;
Ochthebius legionensis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;2;5;1;ITIS;;656055
Ochthebius lejolisii;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;5;74;1;;;652638
Ochthebius lenensis;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;1;1;1;;;1142959
Ochthebius lividipennis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;4;1;;;911416
Ochthebius lobicollis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652639
Ochthebius maculatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius marginalis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;FE;;911420
Ochthebius marinus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;26;41;3;ITIS;;212530
Ochthebius mediterraneus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;FE;;652640
Ochthebius melanescens;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;;;;ITIS;gap;
Ochthebius meridionalis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;;;652641
Ochthebius merinidicus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911422
Ochthebius metallescens;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;6;13;2;;;275136
Ochthebius metarius;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius minervius;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius minimus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;35;52;1;;;167343
Ochthebius montanus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911425
Ochthebius montenegrinus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;ITIS;gap;
Ochthebius montesi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;5;0;;gap;168369
Ochthebius monychus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius morettii;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911426
Ochthebius nanus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;5;6;0;;;237050
Ochthebius naxianus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius nilssoni;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;2;4;1;;;652642
Ochthebius nobilis;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;3;6;1;;;255542
Ochthebius notabilis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;89;1;;;168370
Ochthebius olicinium;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius opacus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652645
Ochthebius pedicularius;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;1;3;1;;;275137
Ochthebius pedroi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911431
Ochthebius peisonis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;2;4;1;;;911432
Ochthebius peregrinus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911433
Ochthebius perkinsi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius pilosus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911434
Ochthebius pliginskiyi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius ponticus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius poweri;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;;;652646
Ochthebius preissi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911435
Ochthebius pretneri;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius punctatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911436
Ochthebius pusillus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;4;9;1;;;248218
Ochthebius quadricollis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;3;153;3;;;652647
Ochthebius quadrifossulatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;5;0;;gap;168368
Ochthebius quadrifoveolatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;4;1;;;911055
Ochthebius ragusae;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652648
Ochthebius remotus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652649
Ochthebius romanicus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius rugulosus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;4;1;;;652650
Ochthebius salinator;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;19;1;;;911442
Ochthebius sardus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius sattmanni;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;ITIS;gap;
Ochthebius schneideri;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius semisericeus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;652653
Ochthebius semotus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius sempronius;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
